Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Fund_Year,Category
Thecollegefever,2017,Bangalore,brand marketing event promotion marketing sponsorship ticketing,"thecollegefever is a hub for fun, fiesta and frolic of colleges.",Unknown,Undisclosed,250000.0,Seed,2018,technology
Happy Cow Dairy,2017,Mumbai,agriculture farming,a startup which aggregates milk from dairy farmers in rural maharashtra.,Unknown,Undisclosed,40000000.0,Seed,2018,technology
Myloancare,2017,Gurgaon,credit financial services lending marketplace,leading online loans marketplace in india,Unknown,Undisclosed,65000000.0,Series A,2018,technology
Payme India,2017,Noida,financial services fintech,payme india is an innovative fintech organization which offers short term financial suport to corporate employees.,Unknown,Undisclosed,2000000.0,Pre-Seed,2018,technology
Eunimart,2017,Hyderabad,ecommerce platforms retail saas,eunimart is a one stop solution for merchants to create a difference by selling globally.,Unknown,Undisclosed,0.0,Seed,2018,technology
Hasura,2017,Bangalore,software as a service,"hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",Unknown,Undisclosed,1600000.0,Seed,2018,technology
Tripshelf,2017,Kalkaji,internet leisure marketplace,tripshelf is an online market place for holiday packages.,Unknown,Undisclosed,16000000.0,Seed,2018,technology
Hyperdata.Io,2017,Hyderabad,market research,hyperdata combines advanced machine learning with human intelligence.,Unknown,Undisclosed,50000000.0,Pre-Seed,2018,technology
Freightwalla,2017,Mumbai,information services information technology,freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,Unknown,Undisclosed,0.0,Seed,2018,technology
Microchip Payments,2017,Bangalore,mobile payments,microchip payments is a mobile-based payment application and point-of-sale device,Unknown,Undisclosed,0.0,Seed,2018,technology
Bizcrum Infotech Pvt. Ltd.,2017,Delhi,b2b shoes,building transactionary b2b marketplaces,Unknown,Undisclosed,0.0,Seed,2018,business services
Emojifi,2017,Bangalore,internet,"emojifi is an app that provides live emoji, stickers & gifs suggestions based on the typed words across chat platforms.",Unknown,Undisclosed,0.0,Seed,2018,technology
Flock,2017,India,apps collaboration developer platform enterprise software messaging productivity tools video chat,flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,Unknown,Undisclosed,0.0,Seed,2018,technology
Freshboxx,2017,Hubli,food delivery,"freshboxx is incubated at sandbox startups, a unit of the deshpande foundation.",Unknown,Undisclosed,0.0,Seed,2018,food and beverages
Wide Mobility Mechatronics,2017,Bangalore,industrial automation,wide mobility mechatronics is a private company limited by shares,Unknown,Undisclosed,0.0,Seed,2018,technology
Pitstop,2017,Bangalore,automotive search engine service industry,pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,Unknown,Undisclosed,100000000.0,Seed,2018,technology
Mihuru,2017,Mumbai,finance internet travel,mihuru is an online platform which gives micro loans for air travel .,Unknown,Undisclosed,150000.0,Seed,2018,technology
Fyle,2017,Bangalore,accounting business information systems business travel finance saas,fyle is an intelligent expense management platform for enterprises.,Unknown,Undisclosed,1100000.0,Seed,2018,technology
Appwharf,2017,New Delhi,artificial intelligence product search saas service industry software,appwharf is an intelligent assistant that helps find you the best-fit saas for your business.,Unknown,Undisclosed,0.0,Seed,2018,technology
Antariksh Waste Ventures Pvt Ltd,2017,Chennai,internet of things waste management,waste management for smart cities,Unknown,Undisclosed,500000.0,Seed,2018,technology
Cogoport,2017,Mumbai,air transportation freight service logistics marine transportation,cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,Unknown,Undisclosed,6000000.0,Series A,2018,technology
Paisadukan,2017,Mumbai,financial services,a p2p lending marketplace platform,Unknown,Undisclosed,650000.0,Seed,2018,fintech
Sleepy Owl Coffee,2017,New Delhi,food and beverage,"makers of a signature coffee that's exceptional in taste. it's super easy to brew, requires no equipment & ships to your door.",Unknown,Undisclosed,35000000.0,Seed,2018,food and beverages
Bluejack,2017,Delhi,autonomous vehicles,delhi-based online used vehicles marketplace.,Unknown,Undisclosed,64000000.0,Seed,2018,mobility and transportation
Pregbuddy,2017,Bangalore,enterprise software health care hospital parenting personal health saas,pregbuddy is a smart connected care platform for expecting mothers.,Unknown,Undisclosed,0.0,Seed,2018,technology
